x,y,label
1.2422637,13.435624,Cnidaria
2.8164678,15.038523,Cnidaria
1.1769586,13.851656,Cnidaria
4.001375,12.847833,Cnidaria
1.0525141,13.358351,Cnidaria
1.7022744,13.680818,Cnidaria
1.7354382,14.253298,Cnidaria
1.8030945,15.397904,Cnidaria
1.803637,15.3920765,Cnidaria
3.3007839,14.859261,Cnidaria
3.7705963,12.738349,Cnidaria
2.3372486,13.608757,Cnidaria
1.8241842,14.207867,Cnidaria
3.9504032,13.664726,Cnidaria
1.823801,13.633928,Cnidaria
2.9662395,15.305409,Cnidaria
3.0337276,15.009834,Cnidaria
1.6332629,15.359998,Cnidaria
2.9539492,15.2463455,Cnidaria
2.8388758,14.949117,Cnidaria
4.2163534,13.366905,Cnidaria
2.0396,15.437525,Cnidaria
3.800329,12.901004,Cnidaria
1.8222007,13.966684,Cnidaria
2.608143,15.484023,Cnidaria
1.4122269,12.767946,Cnidaria
2.1125503,13.714305,Cnidaria
2.4876585,12.827382,Cnidaria
2.9415014,15.313643,Cnidaria
2.5931578,15.50111,Cnidaria
2.8311515,15.416462,Cnidaria
2.8370745,15.405234,Cnidaria
1.8051279,15.376774,Cnidaria
4.5324173,12.800049,Cnidaria
2.7639637,13.428396,Cnidaria
0.8051562,13.167574,Cnidaria
1.7322481,14.226825,Cnidaria
0.8126595,13.042674,Cnidaria
1.0329431,13.029535,Cnidaria
1.6826884,14.016558,Cnidaria
1.9535602,13.988543,Cnidaria
3.4728947,12.968845,Cnidaria
4.1198273,13.266315,Cnidaria
3.865419,13.381357,Cnidaria
3.3847942,13.002606,Cnidaria
4.89202,12.401209,Cnidaria
2.4190407,13.637461,Cnidaria
3.4126973,13.065549,Cnidaria
4.8636093,12.570533,Cnidaria
4.824904,12.581022,Cnidaria
4.9679804,12.499794,Cnidaria
4.9257216,12.564807,Cnidaria
1.9501619,13.185802,Cnidaria
1.9807866,13.173184,Cnidaria
3.5271628,12.674037,Cnidaria
3.9603567,12.970378,Cnidaria
1.6803355,14.295658,Cnidaria
4.160516,12.899497,Cnidaria
1.0548787,12.972562,Cnidaria
3.377371,14.962735,Cnidaria
3.342426,15.020795,Cnidaria
3.0556211,15.265407,Cnidaria
3.6809728,12.8175745,Cnidaria
3.2886798,13.113121,Cnidaria
3.1981733,12.734947,Cnidaria
3.8615885,12.591719,Cnidaria
4.2159777,13.084581,Cnidaria
3.928515,12.627889,Cnidaria
2.6439354,14.515813,Cnidaria
3.0526931,15.410958,Cnidaria
3.115886,15.163907,Cnidaria
3.166442,15.186672,Cnidaria
3.8894281,12.649743,Cnidaria
4.333099,12.664037,Cnidaria
1.1589628,13.281156,Cnidaria
4.007368,13.336431,Cnidaria
1.9775466,13.243743,Cnidaria
3.0584946,12.849968,Cnidaria
2.0055087,13.180559,Cnidaria
4.0812626,13.322512,Cnidaria
3.860108,12.578778,Cnidaria
3.9452286,12.58742,Cnidaria
1.5032406,15.194833,Cnidaria
2.081093,13.320946,Cnidaria
4.888735,12.548768,Cnidaria
4.9020967,12.537502,Cnidaria
4.045476,12.740946,Cnidaria
2.4767857,12.905154,Cnidaria
4.0317383,13.4819565,Cnidaria
1.8295788,12.789218,Cnidaria
1.2754289,12.995462,Cnidaria
-2.4033003,-4.859579,Arthropoda
-2.4322371,-4.8676834,Arthropoda
-2.0977814,-4.8832517,Arthropoda
22.224607,-9.0695095,Arthropoda
22.20915,-9.051268,Arthropoda
22.212025,-9.049444,Arthropoda
22.257723,-8.9451475,Arthropoda
22.200056,-9.03955,Arthropoda
22.240393,-8.984742,Arthropoda
22.162807,-9.017811,Arthropoda
-1.24672,-5.2190275,Arthropoda
22.137793,-8.977565,Arthropoda
22.257357,-9.07234,Arthropoda
22.106869,-9.125585,Arthropoda
-1.2265408,-5.2420387,Arthropoda
-1.3700708,-5.0847964,Arthropoda
22.306372,-9.002157,Arthropoda
22.128994,-8.960926,Arthropoda
22.164131,-9.001115,Arthropoda
22.129133,-9.071203,Arthropoda
22.066309,-9.087362,Arthropoda
22.115084,-8.994683,Arthropoda
22.299406,-9.096945,Arthropoda
22.218344,-8.899769,Arthropoda
22.045504,-8.869896,Arthropoda
-2.6244657,-4.9413013,Arthropoda
-1.3659213,-5.0997615,Arthropoda
22.112186,-8.993558,Arthropoda
-1.1995559,-5.2704573,Arthropoda
22.14875,-9.113942,Arthropoda
22.095743,-9.124933,Arthropoda
-1.2691406,-5.190733,Arthropoda
22.188,-8.95448,Arthropoda
22.335115,-8.889785,Arthropoda
21.999647,-9.093625,Arthropoda
22.164207,-9.117044,Arthropoda
22.265516,-9.049366,Arthropoda
22.251295,-9.074226,Arthropoda
22.077688,-8.916072,Arthropoda
22.215551,-8.956158,Arthropoda
22.350822,-8.869004,Arthropoda
22.34338,-9.175427,Arthropoda
-1.3130795,-5.143952,Arthropoda
22.143484,-8.884356,Arthropoda
22.164787,-8.971167,Arthropoda
22.12653,-8.953859,Arthropoda
22.173977,-8.956782,Arthropoda
22.256002,-9.075875,Arthropoda
-7.1969337,4.1941156,Arthropoda
-7.1844406,4.1816316,Arthropoda
-1.6861355,-4.9108076,Arthropoda
-1.703378,-4.8701816,Arthropoda
-1.6498438,-4.9613338,Arthropoda
-1.7831059,-4.971641,Arthropoda
-1.4899154,-4.9539895,Arthropoda
-1.5495467,-4.956641,Arthropoda
-1.5573782,-4.9517727,Arthropoda
-2.1589527,-4.941934,Arthropoda
-1.48758,-5.0147963,Arthropoda
-1.7415427,-4.8811774,Arthropoda
-1.5930309,-4.9082294,Arthropoda
-1.7171514,-4.9000363,Arthropoda
-2.2181113,-4.8745465,Arthropoda
-2.5888133,-4.934363,Arthropoda
-2.5887687,-4.8987265,Arthropoda
-1.887445,-4.8645506,Arthropoda
-1.9389745,-4.899003,Arthropoda
